train_loss,train_acc,test_loss,test_acc
0.7014439901579981,0.7562952898550724,0.30964359897991706,0.8493956146926537
0.1329019939445931,0.945762882447665,0.0733829395652845,0.9725215517241379
0.04572750783484915,0.9838315217391305,0.024790909912051826,0.9935344827586207
0.017001980354847467,0.9961704911433172,0.012975157258614641,0.9973060344827587
0.009694641968235374,0.9979619565217391,0.011830375220722937,0.9973060344827587
0.005920896388883905,0.9991847826086957,0.013185810288695362,0.9967672413793104
0.005716413013262513,0.9987771739130434,0.00807879695213191,0.9978448275862069
0.004225953088493754,0.9991847826086957,0.01524684519521041,0.9956896551724138
0.00470421556532054,0.9990489130434783,0.007210107719935155,0.9983836206896551
0.0030084383765706267,0.9993206521739131,0.004105925045411729,0.9983836206896551
0.0020813241453573068,0.9995923913043478,0.005656201864094955,0.9978448275862069
0.0025590214760007296,0.9991596215780998,0.0037959078939005346,0.9989224137931034
0.003094986167406719,0.9991847826086957,0.007716230312231848,0.9978448275862069
0.002242873852778955,0.9991847826086957,0.004381406468947434,0.9983836206896551
0.0025474559570284327,0.9993206521739131,0.0017847866050754513,0.9989224137931034
0.0021680072088201994,0.9993206521739131,0.003091842258762536,0.9994612068965517
0.0019479605285991767,0.9994565217391305,0.004001086000463492,0.9989224137931034
0.0013431378375611056,0.9995923913043478,0.0027215703054841063,0.9994612068965517
0.002993803306170499,0.9990489130434783,0.0022374291614235924,0.9983836206896551
0.0012104915711065784,0.9995923913043478,0.0035931023145982684,0.9989224137931034
