train_loss,train_acc,test_loss,test_acc
0.7305080771446228,0.7586050724637681,0.49745541605456123,0.7997095202398801
0.36116367976950564,0.8301630434782609,0.10539601499150539,0.966383995502249
0.04838042551570612,0.9855978260869566,0.022639499784543597,0.993862443778111
0.015599065984639785,0.9960597826086957,0.018316208856613857,0.9949400299850075
0.010691308442999245,0.997554347826087,0.006716239213911367,0.9989224137931034
0.008914285566678028,0.9976902173913044,0.005309695689055812,0.9994612068965517
0.007711093588580337,0.9985054347826087,0.03535350639541666,0.9863193403298351
0.008228047894669504,0.9976902173913044,0.005173242491356836,0.9989224137931034
0.0050614170552327545,0.9987771739130434,0.035215390013161534,0.9857805472263869
0.006163093975350342,0.998641304347826,0.006762865133451073,0.9989224137931034
0.003965208808633337,0.9990489130434783,0.007419141397208321,0.9989224137931034
0.003631237208039396,0.9993206521739131,0.009070206333396119,0.9978448275862069
0.0035383547092825885,0.9991847826086957,0.009287984021472672,0.9989224137931034
0.004121140614615402,0.9987771739130434,0.014345982569623095,0.9983836206896551
0.0037655678931000497,0.9990489130434783,0.006774426302493746,0.9989224137931034
0.004498180215823991,0.9990489130434783,0.0044366920559194365,0.9989224137931034
0.0028592657592951026,0.9994565217391305,0.006293887894947869,0.9989224137931034
0.0025781809776400104,0.9993206521739131,0.005427240581239261,0.9989224137931034
0.00288682483012409,0.9994565217391305,0.007051524490415086,0.9989224137931034
0.0027934935216881456,0.9993206521739131,0.005886775499361804,0.9989224137931034
